question,answer,source_file
Phần I. Thí sinh trả lời từ câu 1 đến câu 24. Mỗi câu hỏi thí sinh chỉ chọn một phương án.,"['A. 1.9_2_3_1. Đâu là một ví dụ ứng dụng của trí tuệ nhân tạo trong đời sống hiện nay?', 'A. Tính toán phép cộng, trừ, nhân, chia.', 'B. Giải mã các văn bản cổ và dạy các ngôn ngữ mới.', 'C. Xe tự lái sử dụng cảm biến và học máy để điều khiển phương tiện.', 'D. Chỉ giải quyết các vấn đề lý thuyết trong các bài toán toán học.', 'F. Đáp án: C', 'G. 1.9_1_3_1. Trí tuệ nhân tạo (AI) là gì?', 'A. Một hệ thống máy tính có khả năng tự học và cải thiện hiệu suất mà không cần sự can thiệp của con người.', 'B. Một loại phần mềm có thể thực hiện các phép toán số học cơ bản.', 'C. Một công cụ chỉ thực hiện các nhiệm vụ tìm kiếm thông tin trên internet.', 'D. Một hệ thống máy tính chỉ có thể làm việc với dữ liệu số.', 'L. Đáp án: A']",1763808399128-GdtxTinh_NguyenThiAiNhi_Matran_De_Dapan_Tinhoc2025_DaMaHoa.docx
1.9_2_3_1. Câu nào dưới đây là KHÔNG đúng về khả năng học của trí tuệ nhân tạo?,"['A. AI có thể tự học từ dữ liệu mới và cải thiện khả năng thực hiện nhiệm vụ.', 'B. AI không thể thay đổi hành vi của mình sau khi đã được lập trình lần đầu.', 'C. AI có thể nhận diện các mẫu trong dữ liệu để cải thiện khả năng dự đoán.', 'D. AI có thể học từ kinh nghiệm và phản hồi để nâng cao hiệu suất làm việc.', 'E. Đáp án: B']",1763808399128-GdtxTinh_NguyenThiAiNhi_Matran_De_Dapan_Tinhoc2025_DaMaHoa.docx
1.9_2_3_1. Câu nào dưới đây là KHÔNG đúng về ứng dụng của trí tuệ nhân tạo trong y tế?,"['A. AI có thể giúp phân tích và chẩn đoán bệnh từ hình ảnh y tế.', 'B. AI có thể giúp phân tích dữ liệu bệnh nhân để đưa ra phác đồ điều trị cá nhân hóa.', 'C. AI có thể giúp giảm thiểu sai sót trong quá trình chẩn đoán bệnh.', 'D. AI không thể hỗ trợ bác sĩ trong việc đưa ra quyết định điều trị.', 'E. Đáp án: D', 'F. 2.15_1_1_1 Để sử dụng dữ liệu di động trên thiết bị di động, bạn cần làm gì?', 'A. Truy cập vào ""Cài đặt"", bật ""Dữ liệu di động"" trong mục ""Mạng di động"".', 'B. Truy cập vào ""Cài đặt"", bật ""Wi-Fi"".', 'C. Truy cập vào ""Cài đặt"", chọn ""Bluetooth"", bật ""Dữ liệu di động"".', 'D. Truy cập vào ""Cài đặt"", bật ""Chế độ máy bay"".', 'K. Đáp án: A', 'L. 2.15_1_1_1 Khi muốn kết nối với một mạng Wi-Fi bảo mật, bạn cần làm gì?', 'A. Chỉ cần chọn mạng và kết nối mà không cần mật khẩu.', 'B. Chọn mạng Wi-Fi và nhập mật khẩu nếu yêu cầu.', 'C. Cắm dây Ethernet vào thiết bị để kết nối.', 'D. Kết nối qua Bluetooth với thiết bị phát Wi-Fi.', 'Q. Đáp án: B']",1763808399128-GdtxTinh_NguyenThiAiNhi_Matran_De_Dapan_Tinhoc2025_DaMaHoa.docx
2.13_2_1_1 Câu nào dưới đây mô tả đúng về giao thức HTTP?,"['A. HTTP là giao thức dùng để truyền tải dữ liệu giữa các máy tính trong mạng LAN.', 'B. HTTP là giao thức sử dụng để trao đổi dữ liệu giữa các máy chủ web và trình duyệt web.', 'C. HTTP yêu cầu bảo mật dữ liệu và mã hóa thông tin khi truyền tải.', 'D. HTTP chỉ hoạt động trên các mạng có kết nối dây.', 'E. Đáp án: B', 'F. 2.13_3_1_1 Bạn đang sử dụng một mạng Wi-Fi tại nhà. Khi thực hiện truy cập một trang web, máy tính của bạn gửi yêu cầu đến địa chỉ IP của trang web. Để tìm ra địa chỉ IP của trang web từ tên miền, hệ thống của bạn sẽ sử dụng giao thức nào?', 'A. TCP', 'B. IP', 'C. DNS', 'D. HTTP', 'K. Đáp án: C']",1763808399128-GdtxTinh_NguyenThiAiNhi_Matran_De_Dapan_Tinhoc2025_DaMaHoa.docx
6.36_1_3_1 Câu nào dưới đây mô tả đúng về vai trò của CSS trong thiết kế trang web?,"['A. CSS giúp cấu trúc và định dạng nội dung của trang web.', 'B. CSS giúp xác định các địa chỉ URL của các trang web.', 'C. CSS chỉ sử dụng để hiển thị hình ảnh trên trang web.', 'D. CSS giúp tạo các hiệu ứng động trên trang web.', 'E. Đáp án: A', 'F. 6.36_1_3_1 Để thay đổi kích thước chữ của đoạn văn trong CSS, bạn sẽ sử dụng thuộc tính nào?', 'A. font-family', 'B. font-size', 'C. text-size', 'D. letter-spacing', 'K. Đáp án: B', 'L. 6.35_1_3_1 Nếu bạn muốn tạo một liên kết từ trang web hiện tại đến một trang web khác trong HTML, bạn sẽ sử dụng thẻ nào?', 'A. <link>', 'B. <a>', 'C. <img>', 'D. <script>', 'Q. Đáp án: B', 'R. 6.35_2_3_1 Để tạo một danh sách không có thứ tự trong HTML, bạn sẽ sử dụng thẻ nào?', 'A. <ul>', 'B. <ol>', 'C. <li>', 'D. <dl>', 'W. Đáp án: A', 'X. 6.35_2_3_1 Cấu trúc của một tài liệu HTML bao gồm những phần nào?', 'A. <header>, <footer>, <body>, <head>', 'B. <header>, <body>, <title>, <head>', 'C. <html>, <body>, <head>, <footer>', 'D. <html>, <head>, <body>', ']. Đáp án: D', '^. 6.35_2_3_1 Thẻ <meta> trong phần <head> của tài liệu HTML thường được sử dụng để làm gì?', 'A. Để xác định kiểu chữ cho trang web.', 'B. Để cung cấp thông tin về tài liệu, chẳng hạn như tác giả hoặc mô tả trang web.', 'C. Để liên kết trang web với các trang mạng xã hội.', 'D. Để chèn hình ảnh vào trang web.', 'c. Đáp án: B', 'd. 6.35_3_3_1 Bạn muốn tạo một liên kết trong trang HTML mở ra một trang mới khi người dùng nhấp vào. Câu lệnh nào dưới đây là đúng?', 'A. <a href=""https://example.com"" target=""new"">Click here</a>', 'B. <a href=""https://example.com"" target=""_blank"">Click here</a>', 'C. <a href=""https://example.com"" target=""_new"">Click here</a>', 'D. <a href=""https://example.com"" target=""blank"">Click here</a>', 'i. Đáp án: B', 'j. 6.35_3_3_1 Giả sử bạn có một danh sách các sản phẩm mà mỗi sản phẩm có tên, hình ảnh, và mô tả ngắn. Bạn muốn hiển thị chúng dưới dạng một bảng với mỗi sản phẩm là một dòng riêng biệt. Cách nào dưới đây sẽ giúp bạn tổ chức thông tin này hợp lý nhất?', 'A. Sử dụng thẻ <ul> với các thẻ <li> cho từng sản phẩm.', 'B. Sử dụng thẻ <div> để chia cột cho từng sản phẩm.', 'C. Sử dụng thẻ <table>, với các thẻ <tr> cho mỗi dòng và <td> cho các thông tin của sản phẩm.', 'D. Sử dụng thẻ <form> để nhóm các sản phẩm lại với nhau.']",1763808399128-GdtxTinh_NguyenThiAiNhi_Matran_De_Dapan_Tinhoc2025_DaMaHoa.docx
6.35_3_3_1 Bạn muốn chèn hình ảnh logo của trường vào trang web Tin Học 12. Đoạn mã HTML nào dưới đây là chính xác để thực hiện điều này?,"['A. <img src=""logo.jpg"" alt=""Logo trường"" />.', 'B. <img href=""logo.jpg"" alt=""Logo trường"" />', 'C. <image src=""logo.jpg"" alt=""Logo trường"" />', 'D. <picture src=""logo.jpg"" alt=""Logo trường"" />', 'E. Đáp án: C']",1763808399128-GdtxTinh_NguyenThiAiNhi_Matran_De_Dapan_Tinhoc2025_DaMaHoa.docx
6.28_3_3_1 Câu lệnh SQL nào dưới đây sẽ thực hiện điều này?,"['A. SELECT * FROM sinhvien WHERE diem > 8;', 'B. SELECT sinhvien FROM diem WHERE diem > 8;', 'C. SELECT * FROM diem WHERE sinhvien > 8;', 'D. SELECT sinhvien FROM sinhvien WHERE diem > 8;', 'E. Đáp án: A', 'F. 4.19_1_2_1 Hành động nào là đúng khi bạn nhận được một email lạ yêu cầu cung cấp thông tin cá nhân?', 'A. Cung cấp thông tin yêu cầu ngay lập tức để giải quyết vấn đề.', 'B. Không trả lời và xóa email ngay lập tức.', 'C. Nhấn vào liên kết trong email để kiểm tra.', 'D. Chuyển tiếp email cho bạn bè để cùng kiểm tra.', 'K. Đáp án: B']",1763808399128-GdtxTinh_NguyenThiAiNhi_Matran_De_Dapan_Tinhoc2025_DaMaHoa.docx
4.19_2_2_1 Hành động nào dưới đây giúp bảo vệ dữ liệu cá nhân khi tham gia môi trường mạng?,"['A. Chia sẻ thông tin cá nhân một cách rộng rãi trên các mạng xã hội.', 'B. Để chế độ công khai cho tất cả thông tin cá nhân của bạn trên mạng xã hội.', 'C. Sử dụng các công cụ bảo mật như mã hóa dữ liệu và xác thực hai yếu tố để bảo vệ tài khoản trực tuyến.', 'D. Không cần quan tâm đến việc bảo vệ dữ liệu cá nhân vì tất cả mọi người đều có quyền truy cập vào thông tin đó.', 'E. Đáp án: C', 'F. 4.19_3_2_1 Bạn phát hiện một phần mềm trên máy tính của mình có dấu hiệu lạ và nghi ngờ rằng nó có thể là phần mềm độc hại. Bạn nên làm gì ngay lập tức?', 'A. Xóa phần mềm khỏi máy tính ngay lập tức.', 'B. Cập nhật phần mềm và hệ điều hành để bảo vệ máy tính khỏi mối đe dọa.', 'C. Mở phần mềm và kiểm tra lại thông tin xem có phải là phần mềm bạn cài đặt không.', 'D. Liên hệ với chuyên gia bảo mật hoặc đội ngũ hỗ trợ kỹ thuật.', 'K. Đáp án: D', 'L. 7.43_1_2_1 Nghề ""Kỹ sư phần mềm"" trong môi trường số đòi hỏi người làm có những kỹ năng nào?', 'A. Lập trình và phát triển các phần mềm, ứng dụng đáp ứng yêu cầu người dùng', 'B. Chỉ quản lý và bảo trì hệ thống phần cứng', 'C. Phát triển các ứng dụng di động mà không cần giao tiếp với người dùng', 'D. Tạo ra các hệ thống bảo mật không cần kiểm tra lại', 'Q. Đáp án: A', 'R. 7.43_1_2_1 Ngành nào dưới đây không phải là ngành thuộc lĩnh vực tin học?', 'A. Công nghệ phần mềm', 'B. Hệ thống thông tin', 'C. Kỹ thuật môi trường', 'D. Trí tuệ nhân tạo.', 'W. Đáp án: C', 'X. 7.43_2_2_1 Trong môi trường số, việc ""bảo mật thông tin và dữ liệu cá nhân"" là trách nhiệm của ai?', 'A. Lập trình viên', 'B. Kỹ sư phần mềm', 'C. Chuyên gia an ninh mạng', 'D. Nhà phân tích dữ liệu.', ']. Đáp án: C']",1763808399128-GdtxTinh_NguyenThiAiNhi_Matran_De_Dapan_Tinhoc2025_DaMaHoa.docx
"Phần 2. Thí sinh trả lời 4 câu hỏi. Trong mỗi ý a), b), c), d) ở mỗi câu, thí sinh chọn đúng hoặc sai.",['A. Phần chung cho tất cả các thí sinh'],1763808399128-GdtxTinh_NguyenThiAiNhi_Matran_De_Dapan_Tinhoc2025_DaMaHoa.docx
"2.12+12+14+12_1+1+2+3_2+2+2+2_4. Khi đang sử dụng một dịch vụ web, bạn nhận được thông báo từ một phần mềm yêu cầu tải một bản cập nhật bảo mật. Tuy nhiên, sau khi tải về và cài đặt, hệ thống của bạn bắt đầu có những dấu hiệu bất thường như chạy chậm, và các cửa sổ quảng cáo xuất hiện liên tục. Có một số  phát biểu sau về vấn đề trên:","['A. Đây có thể là một cuộc tấn công bằng phần mềm gián điệp (spyware) hoặc phần mềm quảng cáo (adware)', 'B. Phần mềm diệt virus hiện tại của tôi sẽ tự động xử lý vấn đề này mà không cần tôi can thiệp']",1763808399128-GdtxTinh_NguyenThiAiNhi_Matran_De_Dapan_Tinhoc2025_DaMaHoa.docx
