question,answer,source_file
Câu 1: Tế bào là đơn vị cấu trúc của mọi cơ thể sinh vật vì,"['A.\xa0mọi cơ thể sinh vật đều được cấu tạo từ một hoặc nhiều tế bào.', 'B.\xa0mọi cơ thể sinh vật đều được cấu tạo từ nhiều tế bào.', 'C.\xa0các hoạt động sống cơ bản đều được thực hiện ở tế bào, hoạt động sống ở cấp độ tế bào là nền tảng cho hoạt động sống ở cấp độ cơ thể.', 'D.\xa0các hoạt động sống cơ bản đều được thực hiện ở tế bào, hoạt động sống ở cấp độ cơ thể là nền tảng cho hoạt động sống ở cấp độ tế bào.']",1763302788408-Sinh_Dethi_Nguyenthihainhu_Ttgdnngdtxtpbmt.docx
Câu 2: Bệnh nào sau đây liên quan đến sự thiếu hụt nguyên tố vi lượng?,"['A.\xa0Bệnh bướu cổ.\t\t\t\tB.\xa0Bệnh còi xương.', 'C.\xa0Bệnh cận thị.\t\t\t\tD.\xa0Bệnh tự kỉ.']",1763302788408-Sinh_Dethi_Nguyenthihainhu_Ttgdnngdtxtpbmt.docx
Câu 3: Quá trình tiêu hóa thức ăn trong hệ tiêu hóa của người diễn ra theo trình tự nào dưới đây?,"['A. Miệng → thực quản → dạ dày → ruột non → ruột già→ hậu môn.', 'B. Miệng → ruột non→ dạ dày→ hầu → ruột già→ hậu môn.', 'C. Miệng → ruột non→ thực quản → dạ dày → ruột già → hậu môn.', 'D. Miệng → dạ dày → ruột non → thực quản → ruột già → hậu môn.']",1763302788408-Sinh_Dethi_Nguyenthihainhu_Ttgdnngdtxtpbmt.docx
Câu 4: Các yếu tố chủ yếu ảnh hưởng đến quang hợp ở thực vật là,"['A. ánh sáng, chất khoáng và khí O2.', 'B. ánh sáng, khí CO2\xa0và nhiệt độ.', 'C. ánh sáng, khí O2\xa0và độ pH.', 'D. Khí O2, độ pH và nhiệt độ.']",1763302788408-Sinh_Dethi_Nguyenthihainhu_Ttgdnngdtxtpbmt.docx
Câu 5: Xác côn trùng trong hổ phách được phát hiện có từ đại Cổ sinh thuộc bằng chứng tiến hóa nào sau đây?,"['A. Hóa thạch.', 'B. Tế bào học.', 'C. Sinh học phân tử.', 'D. Giải phẫu so sánh.']",1763302788408-Sinh_Dethi_Nguyenthihainhu_Ttgdnngdtxtpbmt.docx
"Câu 6: Theo Darwin, sự đa dạng của các giống vật nuôi và cây trồng là kết quả của quá trình","['A. chọn lọc nhân tạo.', 'B. chọn lọc tự nhiên.', 'C. phát sinh biến dị cá thể.', 'D. chăm sóc, nuôi dưỡng của con người.']",1763302788408-Sinh_Dethi_Nguyenthihainhu_Ttgdnngdtxtpbmt.docx
"Câu 7: Ở một loài thực vật giao phấn, các hạt phấn của quần thể 1 theo gió bay sang quần thể 2 và thụ phấn cho các cây của quần thể 2. Đây là một ví dụ về","['A. phiêu bạt di truyền.', 'B. di - nhập gene.', 'C. giao phối không ngẫu nhiên.', 'D. chọn lọc tự nhiên.']",1763302788408-Sinh_Dethi_Nguyenthihainhu_Ttgdnngdtxtpbmt.docx
"Câu 8: “Quá trình tiến hoá hình thành các hợp chất hữu cơ từ các chất vô cơ, xảy ra khi Trái Đất mới được hình thành” được gọi là:","['A. Tiến hóa vật lí', 'B. Tiến hóa sinh học', 'C. Tiến hóa tiền hóa học', 'D. Tiến hoá hoá học']",1763302788408-Sinh_Dethi_Nguyenthihainhu_Ttgdnngdtxtpbmt.docx
Câu 9. Cơ quan thoái hóa mặc dù không có chức năng gì nhưng vẫn được duy trì qua rất nhiều thế hệ mà không bị chọn lọc tự nhiên đào thải. Giải thích nào dưới đây không hợp lý?,"['A. Gene quy định cơ quan thoái hóa liên kết chặt với những gene quy định các chức năng quan trọng.', 'B. Cơ quan thoái hóa là những cơ quan có hại.', 'C. Cơ quan thoái hóa không chịu sự tác động của chọn lọc tự nhiên.']",1763302788408-Sinh_Dethi_Nguyenthihainhu_Ttgdnngdtxtpbmt.docx
"Câu 10:  Cho các cơ quan sau: răng cửa, răng khôn, xương cùng, ruột thừa, dạ dày, xương chậu. Có bao nhiêu cơ quan thoái hóa ở người?",['A. 2\t\tB. 3\t\t\tC. 4\t\t\t\tD. 5'],1763302788408-Sinh_Dethi_Nguyenthihainhu_Ttgdnngdtxtpbmt.docx
Câu 11: Môi trường sống của sinh vật gồm có:,"['A. Đất, nước, không khí', 'B. Đất, nước, không khí, sinh vật', 'C. Đất, nước, không khí, trên cạn', 'D. Đất, nước, trên cạn, sinh vật']",1763302788408-Sinh_Dethi_Nguyenthihainhu_Ttgdnngdtxtpbmt.docx
