id,question,A,B,C,D,answer
1,Trong điều kiện chuẩn về nhiệt độ và áp suất thì,số phân tử trong một đơn vị thể tích của các chất khí khác nhau là như nhau.,các phân tử của các chất khí khác nhau chuyển động với vận tốc như nhau.,khoảng cách giữa các phân tử rất nhỏ so với kích thước của các phân tử.,các phân tử khí khác nhau va chạm vào thành bình tác dụng vào thành bình những lực bằng nhau.,"Đáp án: A
Trong điều kiện chuẩn về nhiệt độ và áp suất (điều kiện tiêu chuẩn áp suất 1 atm, nhiệt độ 273 0 K, thể tích 22,4 lít) thì số phân tử trong một đơn vị thể tích của các chất khí khác nhau là như nhau."
2,Khi truyền nhiệt cho một khối khí thì khối khí có thể,tăng nội năng và thực hiện công.,giảm nội năng và nhận công.,giảm nội năng.,nhận công.,"Đáp án: A
Khi truyền nhiệt cho một khối khí thì có thể làm tăng nội năng của khối khí, đồng thời khối khí dãn nở và sinh công.
Ví dụ nhiệt lượng cung cấp cho khối khí trong quá trình đẳng áp, ngoài việc dùng để làm nóng khí (tăng nội năng) còn làm cho chất khí dãn nở (khí thực hiện công)."
3,Câu nào sau đây nói về nhiệt lượng là không đúng?,Nhiệt lượng là số đo độ tăng nội năng của vật trong quá trình truyền nhiệt.,Một vật lúc nào cũng có nội năng nên lúc nào cũng có nhiệt lượng.,Đơn vị của nhiệt lượng cũng là đơn vị của nội năng.,Nhiệt lượng không phải là nội năng.,"Đáp án: B
Nhiệt lượng là số đo độ biến thiên nội năng của vật trong quá trình truyền nhiệt.
Một vật lúc nào cũng có nội năng nhưng không tham gia vào quá trình truyền nhiệt thì nội năng không biến đổi nên không có nhiệt lượng được nhận thêm hay mất đi."
4,Phóng xạ là,quá trình hạt nhân nguyên tử phát các tia không nhìn thấy.,quá trình phân rã tự phát của một hạt nhân không bền vững.,quá trình hạt nhân nguyên tử hấp thụ năng lượng để phát ra các tia .,quá trình hạt nhân nguyên tử nặng bị phá vỡ thành các hạt nhân nhỏ hơn.,"Đáp án: B
- Phóng xạ là hiện tượng hạt nhân nguyên tử của một số nguyên tố (kém bền vững) tự phóng ra các bức xạ rồi biến đổi thành hạt nhân nguyên tử của các nguyên tố khác (bền vững hơn).
- Như vậy phóng xạ quá trình phân rã tự phát của một hạt nhân không bền vững."
5,Phát biểu nào sau đây là không đúng khi nói về điện từ trường,"Khi một điện trường biến thiên theo thời gian, nó sinh ra một từ trường xoáy.",Điện trường xoáy là điện trường có các đường sức là những đường cong.,"Khi một từ trường biến thiên theo thời gian, nó sinh ra một điện trường.",Từ trường xoáy có các đường sức từ bao quanh các đường sức điện.,"Đáp án: B
Điện trường xoáy có các đường sức là những đường cong kín, không phải chỉ là những đường cong."
6,"Ban đầu một mẫu chất phóng xạ nguyên chất có hạt nhân. Biết chu kì bán rã của chất phóng xạ này là T. Sau thời gian 5T, kể từ thời điểm ban đầu số hạt nhân chưa phân rã của mẫu chất phóng xạ này là",,,,,"Đáp án: A
"
7,"Trên hình bên là hai đường đẳng nhiệt của cùng một lượng khí lý tưởng ở hai nhiệt độ khác nhau,
Thông tin đúng khi so sánh nhiệt độ T1 và T2 là",,,,,"Đáp án: A
do Từ  kẻ đường thẳng song song với trục Op, cắt hai đường đẳng nhiệt tại hai vị trí (1) và (2) . Khi đó ta có nên các phân tử chất khí ở trạng thái (2) chuyển động nhanh hơn các phân tử chất khí ở trạng thái (1) nên"
8,"Trong quá trình truyền sóng điện từ, vector cường độ điện trường  và vector cảm ứng từ  luôn",có phương vuông góc với nhau và vuông góc với phương truyền sóng.,có phương song song và cùng chiều.,có phương song song và ngược chiều.,có phương trùng với phương truyền sóng.,"Đáp án: A
Trong quá trình truyền sóng điện từ, vector cường độ điện trường  và vector cảm ứng từ  luôn có   phương vuông góc với nhau và vuông góc với phương truyền sóng"
9,"Trong hai nhiệt lượng kế có chứa hai chất lỏng khác nhau ở hai nhiệt độ ban đầu khác nhau. Người ta dùng một nhiệt kế, lần lượt nhúng đi nhúng lại vào nhiệt lượng kế 1 rồi vào nhiệt lượng kế 2. Số chỉ của nhiệt kế lần lượt là 80°C, 16°C, 78°C, 19°C. Đến lần nhúng tiếp theo nhiệt kế chỉ",75°,76°,,78°,"Đáp án: B
Gọi nhiệt dung của bình 1,2 và nhiệt kế lần lượt là c1, c2, c3.
Khi nhúng nhiệt kế vào bình 1 thì nhiệt độ cân bằng là  ta có
Khi nhúng nhiệt kế vào bình 2 thì nhiệt độ cân bằng là  ta có
Đến lần nhúng tiếp theo vào bình 1 thì"
10,"Cuộn thứ cấp của một máy biến áp có 800 vòng. Từ thông trong lõi biến thế biến thiên với tần số 50 Hz và giá trị từ thông cực đại qua một vòng dây bằng 2,4 mWb. Suất điện động hiệu dụng cuộn thứ cấp có giá trị xấp xỉ bằng",220 V.,"456,8 V.","426,5 V.",140 V.,"Đáp án: C
Do cấu tạo của máy biến áp, hầu như mọi đường sức từ chỉ chạy trong lõi biến áp nên từ thông qua mỗi vòng dây ở cả hai cuộn bằng nhau, suất điện động cảm ứng trong mỗi vòng dây cũng bằng nhau.
Suất điện động ở cuộn thứ cấp là:
Suất điện động hiệu dụng cuộn thứ cấp là:"
